% Model,20260626_TI_field_CompactXY_X10_Y10_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 20:44"
% Dimension,2
% Nodes,277
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=1,ec.Ey (V/m) @ idx=1,ec.Ex (V/m) @ idx=2,ec.Ey (V/m) @ idx=2
2.7711686249510508,-3.5297093296463844,-0.038423299093420744+9.975393372850656E-8i,-0.013032930580301314+3.383587885659648E-8i,-0.026218810388792046+6.806884197020157E-8i,-0.008291172308061553+2.1525404441175217E-8i
3,-2.5,-0.03646624460665885+9.4673061232339E-8i,-3.9890726536915823E-4+1.0356364459118123E-9i,-0.0249351388397742+6.473619512176486E-8i,-2.7127962836113496E-4+7.042916851975645E-10i
2.537132244230102,-2.701646819488478,-0.03740441083482105+9.71087128801381E-8i,-0.012231827803428429+3.1756069074528234E-8i,-0.026100348127200274+6.77612922055811E-8i,-0.008654336068083789+2.2468244189574088E-8i
3.07117834824588,-1.971183362852011,-0.012968027678410246+3.36673790159485E-8i,0.0026491587599658064-6.8777021654320236E-9i,-0.00794441412120935+2.0625156570543302E-8i,0.0015617572868109424-4.054608442386329E-9i
2.5107777558899382,-2.183702442162958,-0.025706128091531878+6.673782466790208E-8i,-0.014398357064939573+3.7380776516962495E-8i,-0.017402676321632796+4.51805404909648E-8i,-0.010765667603984513+2.7949648209541405E-8i
3.2621461955296036,-1.5101191211626674,0.009340101333437323-2.424861663149364E-8i,-0.0064022518058619304+1.6621420269052037E-8i,0.00749879568823604-1.9468249363736332E-8i,-0.005006050718214777+1.299662609325273E-8i
2.675322141821748,-1.6632736235159093,-0.009541314899895825+2.4771003965399136E-8i,-0.015558363361396923+4.039236568165108E-8i,-0.005449758753115289+1.4148573556181913E-8i,-0.011478412942330629+2.980006587080966E-8i
3.585786437627587,-1.085786437626223,0.02234504466830615-5.80118354642931E-8i,-0.02339799610762346+6.074549057916657E-8i,0.01560982105234443-4.052595928797149E-8i,-0.01628907665994861+4.2289431464082176E-8i
3.1202388457244044,-0.9064643245941306,0.00937124281349902-2.432946562705813E-8i,-0.02458472548787244+6.38264577720987E-8i,0.007530425761892824-1.9550366837915492E-8i,-0.016825845347735013+4.368298145516649E-8i
4.01011912116503,-0.7621461955282576,0.024050283874543166-6.243894929324137E-8i,-0.04345148950031119+1.1280803851539921E-7i,0.01600752223963072-4.1558464533912484E-8i,-0.02885590512952442+7.49152237284054E-8i
