% Model,20260626_TI_field_Base_X50_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 7 2026, 21:51"
% Dimension,2
% Nodes,861
% Expressions,2
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=3,ec.Ey (V/m) @ idx=3
-18.353445215433634,-6.5023627203451975,4.197278100530009E-4-1.1332780157191219E-9i,-0.008616782180915732+2.3265577305050097E-8i
-16.156475080752188,-7.546435890211385,7.941201329051591E-4-2.14414881955844E-9i,-0.009200594575522079+2.4841888753243754E-8i
-14.675776357203198,-8.473643457679572,0.0011935161945117526-3.222530488208606E-9i,-0.009717702070564924+2.6238094917951208E-8i
-22.782977011646647,-1.4231848464871049,-1.8050239421003403E-4+4.873620242527275E-10i,-0.007878843116409365+2.1273119100673746E-8i
-24.999999999999996,7.105427357601002E-15,-1.1316260882428726E-6+3.0554252933722644E-12i,-0.007673296884800618+2.0718137944037392E-8i
-22.772624697988295,1.3709615204008943,-3.333592906147644E-4+9.000803528874568E-10i,-0.007547055092271919+2.0377281215675157E-8i
-24.999999999999996,2.7777777777777786,-9.27548944771687E-7+2.5044107216303754E-12i,-0.007260717973596416+1.9604162175415388E-8i
-20.572188567539577,-2.734647392431572,-2.1810798389972075E-4+5.888982747540073E-10i,-0.008174441012433198+2.2071242525026934E-8i
-8.390838536074279,-16.131553573780984,0.00823758221772244-2.224172572420411E-8i,-0.013647129668471739+3.684767046764763E-8i
-12.91518061116627,-8.361276883976862,0.0011559849311654571-3.1211949211245997E-9i,-0.010506502911127225+2.836788148433823E-8i
-11.814366591554462,-10.121980844499712,0.002098707399699265-5.6665746241718566E-9i,-0.011115940147450131+3.00133807944674E-8i
-9.562410486082081,-13.999159155707204,0.005333717521951493-1.4401201599955151E-8i,-0.012692444175302941+3.42699902295974E-8i
-10.647039421585013,-12.079670259346887,0.0034884226132563534-9.41884850717865E-9i,-0.011873256395773274+3.2058157992014014E-8i
-4.500270102285886,-18.2675341147562,0.01452004880454135-3.920457902293991E-8i,-0.022063153579972447+5.957119426146371E-8i
-5.760390495721254,-16.094763592290402,0.008467610074275633-2.2862808022282343E-8i,-0.018289788045930535+4.938299109127189E-8i
-2.004216861426166,-18.207800072021712,0.010016436339516216-2.7044686645817955E-8i,-0.033520140423418686+9.050541164014045E-8i
-0.7332481478950817,-20.286765210657997,0.015316608821950536-4.1355315605812774E-8i,-0.06815901709924699+1.840314456214195E-7i
0,-22,-0.0016516535030389912+4.45951533290658E-9i,-0.021651752121787316+5.846039765226014E-8i
1.8402290954969067,-23.033355904495263,-0.04742333383055371+1.280444620895261E-7i,0.004511077960149523-1.2180049443911389E-8i
2.7777777777777786,-24.999999999999996,-0.03925351764238342+1.059857067324613E-7i,-0.001961198575825556+5.295296564125868E-9i
4.078848606187839,-22.805054039824764,-0.036701491376541794+9.909515720644946E-8i,-0.006776751643693357+1.8297438177405647E-8i
5.555555555555548,-24.999999999999993,-0.030398142481672923+8.207592103275566E-8i,-1.9342109851228548E-4+5.222429237958514E-10i
-22.769537136658666,4.148581509963448,-4.618329763057076E-4+1.2469632615345078E-9i,-0.007043934569537631+1.901884030703211E-8i
-24.999999999999996,5.555555555555557,-8.764309368432718E-7+2.3663905253408665E-12i,-0.006688419803111023+1.8058939487009577E-8i
-22.78300140732266,6.921977134638894,-5.667378280265247E-4+1.5302095924917605E-9i,-0.006395436126956487+1.7267874536826608E-8i
-25,8.33333333333333,-7.693825489022791E-7+2.077356581123579E-12i,-0.005980809497644013+1.6148369866235706E-8i
-22.802727512409025,9.714353050408588,-6.523045862210225E-4+1.7612424752696822E-9i,-0.0056178387101411915+1.51683375596476E-8i
-24.999999999999996,11.11111111111111,-6.188462801278346E-7+1.6709040171468787E-12i,-0.005159028944345334+1.3929537059610772E-8i
-18.360354843048555,-3.9988766895803964,-1.2819418720821466E-4+3.461282541368047E-10i,-0.008599122043197736+2.321789438923802E-8i
-16.028014043232123,-5.33218025975653,1.0158163306347306E-4-2.7427353821842354E-10i,-0.00922863557583368+2.4917600317811252E-8i
-14.235117031203654,-6.773215428030502,5.135539155270938E-4-1.3866113905583275E-9i,-0.009890405602819327+2.6704399774702634E-8i
-20.54736114352384,-0.008032966867251561,-5.387119243372707E-4+1.4545387892703564E-9i,-0.007914259472567334+2.136874435320621E-8i
-20.54352655022335,2.7475435768817817,-8.124254585617635E-4+2.1935737626774866E-9i,-0.007470306858589154+2.0170058620711266E-8i
-18.303964716449535,-1.3681798093087958,-6.254257837714402E-4+1.6886688807273582E-9i,-0.008393546285636594+2.266283351162244E-8i
-6.9646612980254945,-13.921783075430797,0.005158681819146485-1.3928599810883435E-8i,-0.015773332483678192+4.2588483560609784E-8i
-10.751582396432031,-8.265551769418531,9.5060515521057E-4-2.5666631998796147E-9i,-0.011618813635925998+3.137115470300601E-8i
-12.000209828930204,-6.470138126904744,2.1898644822167015E-4-5.912701554817953E-10i,-0.010788561960140835+2.912944960473663E-8i
-9.362983610452964,-10.08309143142384,0.0019047608862597827-5.1429130638894996E-9i,-0.012729130482920849+3.436904439018806E-8i
-8.144260888210843,-11.828690725037058,0.0031090649993604316-8.394571264579771E-9i,-0.01402536342820864+3.786891326940251E-8i
-8.869527816206183,-8.21838521415971,5.979720232056017E-4-1.6145428815590199E-9i,-0.012691325118542743+3.426696874187532E-8i
-3.226422081882694,-16.06491459753571,0.006146444341765737-1.6595589047296404E-8i,-0.024062337112880052+6.496905137973508E-8i
-4.407701277698392,-13.87252563068203,0.003679060011942343-9.933575355699239E-9i,-0.019279686834434383+5.205574831137591E-8i
0.3984138078749387,-18.136968659565344,-0.004625549234524471+1.2489125410700063E-8i,-0.04080852248374855+1.1018426770185088E-7i
-0.8238966770294786,-16.05737437158719,2.426516912623351E-5-6.55167040632053E-11i,-0.02854911616740957+7.708349303000988E-8i
2.108050527061005,-20.360079014428482,-0.03509333597617203+9.475308809059084E-8i,-0.034277485717345076+9.25502672617073E-8i
2.4082379193993706,-17.773056725733603,-0.015582676708501896+4.2073707094998946E-8i,-0.030871179493371093+8.335313553496314E-8i
6.809627412763641,-22.821580906664177,-0.02559293032350933+6.910170019420064E-8i,-0.006296648118305079+1.700114387057233E-8i
8.333333333333337,-25,-0.02238839015530931+6.044934303290241E-8i,3.3859538711697446E-5-9.142179747251818E-11i
5.225519638871786,-20.677408873589304,-0.027091906054709142+7.314898084031825E-8i,-0.01588517957744621+4.289047415892967E-8i
