x (mm),y (mm),Ex_f1 (V/m),Ey_f1 (V/m),|E_f1| (V/m),Ex_f2 (V/m),Ey_f2 (V/m),|E_f2| (V/m),AM_max (V/m)
-19.042816825105483,2.720709344165424,0.035082073848084816,-0.09444547825172692,0.10075068370825033,-1.426073082492555e-07,-3.280935983266813e-07,3.5774607423289476e-07,7.154921484657895e-07
-18.585786437626624,-3.5857864376271857,-0.0794526205802018,-0.07927617459912337,0.11223827678707562,3.912195777888705e-07,3.58176845613456e-07,5.304181471055714e-07,1.0608362942111429e-06
-18.44799996998911,-3.111590281096694,-0.0561818294054052,-0.07612265603140134,0.09461002439812123,4.243257464009442e-07,-7.303305904482471e-08,4.3056493908836013e-07,8.611298781767203e-07
-17.841916952160613,-4.079225597624756,-0.07939467244131901,-0.03669625471269185,0.08746501656092623,1.2531145273359076e-06,2.2491966203963407e-07,1.2731397696216698e-06,2.5462795392433395e-06
-18.262146195528977,-4.010119121163766,-0.09146285976370139,-0.05186210085444316,0.10514338886107362,1.014868812117736e-06,5.563245353279456e-07,1.1573485621959874e-06,2.314697124391975e-06
-17.958610396943204,-3.6641517125567775,-0.07079103510089287,-0.051119119508966866,0.08731858353196004,9.374765009145802e-07,1.258595392813096e-07,9.458873153791357e-07,1.8917746307582714e-06
-18.673201671862174,2.93096383575592,0.04795382877239618,-0.08464018384928662,0.09728067853368072,-2.815949696523753e-07,-1.8337005939599016e-07,3.360361671255211e-07,6.720723342510421e-07
-18.58578643762738,3.585786437626436,0.0789907767037922,-0.08006530999160211,0.11247220398089344,-3.77131707203493e-07,3.4391881911788325e-07,5.104003122272365e-07,1.020800624454473e-06
-18.10412777274649,3.440108125707897,0.06555760081214093,-0.0605172739756803,0.08921961372754073,-7.369718248070032e-07,5.8832792915186616e-08,7.393164194589251e-07,1.4786328389178502e-06
-18.262146195529223,4.010119121163336,0.09135815942561676,-0.052312090168142644,0.10527520159750962,-1.010531619848043e-06,5.539573881274684e-07,1.152407455101587e-06,2.304814910203174e-06
-17.807799810441256,4.086698761422828,0.07845086696205246,-0.03564743750423331,0.08617005470414808,-1.2654940923894752e-06,1.9823073101887936e-07,1.280925727976818e-06,2.561851455953636e-06
-18.07117834824561,4.471183362852986,0.09683348366344813,-0.02660549022911907,0.10042198797440242,-1.58246842700549e-06,4.2958872820131333e-07,1.6397416863234442e-06,3.2794833726468883e-06
-17.50729474683977,4.461493180867249,0.07528165265129014,-0.018654470179404064,0.0775584713850381,-1.493094620641706e-06,7.838627480438731e-08,1.4951508132181545e-06,2.990301626436309e-06
-18.000000000000004,5.0,0.0993454315453012,-0.0007382316464075167,0.09934817439130869,-1.8591309329241135e-06,4.081095905661414e-08,1.8595788125633196e-06,3.7191576251266393e-06
18.07117834824561,-4.471183362852986,-1.579860150409645e-06,4.285731513009594e-07,1.6369584725546404e-06,0.09679054152522042,-0.02662353525461425,0.100385365259081,3.273916945109281e-06
17.495486991925663,-4.452842114018755,-1.4881014266642238e-06,7.440246349576904e-08,1.4899602620923613e-06,0.07477257867817827,-0.018836791155527055,0.07710877526728914,2.9799205241847226e-06
18.000000000000004,-5.0,-1.8588899410310056e-06,4.139400611169464e-08,1.8593507675014498e-06,0.09935539583856856,-0.0007603923585786099,0.09935830553495581,3.7187015350028996e-06
17.781952399153333,-4.070595595133563,-1.2594234254203595e-06,1.767195986657159e-07,1.2717614481694762e-06,0.07720113226700744,-0.0355358956615683,0.08498714434417623,2.5435228963389524e-06
18.262146195529223,-4.010119121163336,-1.0100524245812426e-06,5.529978340523822e-07,1.1515261633454417e-06,0.09128807939388402,-0.052332097549485646,0.10522434068861136,2.3030523266908834e-06
18.58578643762738,-3.585786437626436,-3.7663708726126677e-07,3.4442492598263375e-07,5.103763563673319e-07,0.07893963846980137,-0.08004575005882586,0.11242236709935868,1.0207527127346639e-06
18.101958332567868,-3.436594288903024,-7.360886583364921e-07,5.527519579088741e-08,7.381611343069601e-07,0.06539840326437923,-0.06053789946070775,0.089116712353212,1.4763222686139202e-06
19.01011912116272,-3.2621461955295774,7.503557812131186e-09,-4.673574179510884e-08,4.733426814665119e-08,0.05879883494429835,-0.10458529054078654,0.11998077341102438,9.466853629330239e-08
18.67010752563493,-2.9477836696175186,-2.816523823560152e-07,-1.7433707390675923e-07,3.312423279491765e-07,0.04863061068155693,-0.08467518851990433,0.09764642259777107,6.62484655898353e-07
