% Model,20260626_TI_field_CompactX_X30_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 17:11"
% Dimension,2
% Nodes,668
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=1,ec.Ey (V/m) @ idx=1,ec.Ex (V/m) @ idx=2,ec.Ey (V/m) @ idx=2
-14.466544654918234,-17.494810861738273,-0.002734176847431357+7.0984247182333866E-9i,-0.020812809487141853+5.403387182440918E-8i,0.02042493308548593-5.302687352444454E-8i,0.091372232220042-2.3721907833426956E-7i
-15,-18.000000000000004,-3.995043600748538E-4+1.0371866133203288E-9i,-0.026446916919056887+6.866104837205535E-8i,0.0010598713376014368-2.751620440364854E-9i,0.12008321410346437-3.117580547276329E-7i
13.585786437628867,-21.41421356237506,-0.009519049904495359+2.4713199952521833E-8i,-0.009440676153964878+2.450972731740658E-8i,-0.004643252370117718+1.205473502124832E-8i,-0.004608423484980147+1.1964312845596969E-8i
13.466737150275634,-21.90251821164732,-0.007401407212837552+1.9215411014340968E-8i,-0.008100885018702418+2.1031383727179355E-8i,-0.0036067064063870133+9.363671530807597E-9i,-0.00400405565625269+1.0395263082639483E-8i
14.010119121165692,-21.73785380447212,-0.0062071832813709316+1.6114986591475363E-8i,-0.010834361044774643+2.8127988984590577E-8i,-0.0030561218805025547+7.934253089324192E-9i,-0.005336783564302186+1.3855269239179483E-8i
14.085290645392831,-22.148217385311508,-0.004573268332138647+1.1873043619120763E-8i,-0.00916914978250678+2.3804795041867182E-8i,-0.002247969239123937+5.836140565594805E-9i,-0.004535554896041505+1.1775132619970898E-8i
14.471183362851226,-21.92882165175391,-0.0030264346491502003+7.857179590203119E-9i,-0.011004828886866094+2.85705547773342E-8i,-0.0014967688524051652+3.885886543650791E-9i,-0.005442785946005671+1.4130470869680624E-8i
13.057791420984312,-21.377445811311567,-0.009483719367761803+2.4621475397301017E-8i,-0.006905689837648876+1.7928437762194803E-8i,-0.004554342567191056+1.1823908861131893E-8i,-0.0034009925663594674+8.829600661073064E-9i
13.262146195531413,-20.98988087884051,-0.011474396227619865+2.9789637742493158E-8i,-0.006507700896661861+1.6895185454846213E-8i,-0.005497473737917577+1.4272450410696923E-8i,-0.00312341491325413+8.108958148169743E-9i
13.071178348246562,-20.52881663715048,-0.010765238364824958+2.7948533825935058E-8i,-0.0029074873862478534+7.548370673196218E-9i,-0.004998427817716464+1.2976835645033014E-8i,-0.0013563911045263721+3.5214401559277577E-9i
