% Model,20260626_TI_field_CompactX_X10_Y50.mph
% Version,COMSOL 6.3.0.335
% Date,"Jun 30 2026, 17:16"
% Table,Table 2 - Point Evaluation 1
% Time (s),"withsol('sol1',ec.normE, setval(t,t)) (V/m), Point: (0, 0)","withsol('sol1',ec.normE, setval(t,t)) (V/m), Point: (1, 10)","withsol('sol1',ec.normE, setval(t,t)) (V/m), Point: (-1, 10)","withsol('sol1',ec.normE, setval(t,t)) (V/m), Point: (3, -8)","withsol('sol1',ec.normE, setval(t,t)) (V/m), Point: (-3, -8)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (0, 0)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (1, 10)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (-1, 10)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (3, -8)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (-3, -8)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (0, 0)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (1, 10)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (-1, 10)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (3, -8)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (-3, -8)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (0, 0)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (1, 10)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (-1, 10)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (3, -8)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (-3, -8)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (0, 0)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (1, 10)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (-1, 10)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (3, -8)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (-3, -8)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (0, 0)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (1, 10)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (-1, 10)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (3, -8)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (-3, -8)"
0.08605769230769232,17093.991265706776,16811.311168712087,17303.157887459147,16775.052993102498,17424.81883296494,18177.025308728134,18407.96784926405,17880.63764004115,18530.57429684617,17836.28436414171,7306.362260146911,7001.054340293857,7753.371038033234,6808.793326859569,7828.749950509741,0.09372221262207814,0.09217234613725574,0.09486902253280072,0.09197355134492494,0.09553606002131118,0.10024388969070826,0.10151750724722107,0.09860935091107206,0.10219366558435504,0.09836474846258728,0.03974473359582713,0.03807474342009497,0.04220635971571022,0.0370115080891302,0.04261533222688391
0.08610576923076925,14479.061854337147,14239.624349909061,14656.231504604299,14208.912718013604,14759.281537089675,17376.01141447452,17596.776922157056,17092.684774018016,17713.980424737387,17050.286030812884,5122.74802366344,4883.113434771988,5541.393116431594,4684.442974975573,5587.532485394883,0.07891246422345446,0.07760750374383095,0.07987805811543722,0.07744012200476694,0.08043969201710416,0.09534678216275862,0.09655818104297133,0.0937920937579151,0.09720130774004118,0.09355944061123339,0.027571889256575718,0.026274519923971985,0.029868082713278097,0.025177898226695056,0.030112442943192336
0.08615384615384616,10552.933693901658,10378.421827491897,10682.062196193463,10356.03793147121,10757.16928330399,14874.112457181922,15063.09086595537,14631.580830576551,15163.418728096598,14595.286904460052,2543.796226869152,2419.9179678322585,2910.2559425706345,2209.4598091829725,2909.173836083513,0.056956539821411065,0.05601466030650231,0.057653475185186966,0.05589384942091914,0.05805884490719641,0.08111646727662451,0.08214706731782954,0.0797938129797907,0.08269420865279929,0.07959588284589907,0.013278442112963635,0.012642471083199465,0.015286459377438758,0.011470219704992969,0.015261279797698899
0.08620192307692309,5671.150146559338,5577.367410357936,5740.543847490133,5565.338297044002,5780.906421578947,10916.231738545153,11054.924525068795,10738.235811220311,11128.555956599184,10711.599404555353,206.82083765425855,650.0538317537797,492.20367357847226,462.7375573636364,159.3073069747201,0.02984272987978893,0.02934922630617187,0.030207893456615214,0.02928592669850076,0.03042028941945464,0.058945907401794985,0.05969482629134662,0.057984757831019675,0.06009242425819138,0.05784092549048357,0.0018973742546929194,0.003976511840004807,0.002804348923615688,0.0032153959701209985,0.0011142789963415481
0.08625000000000001,275.7970701466352,271.2362662168736,279.1717964206206,270.6512712647405,281.1346927272857,5889.794199480853,5964.625147480283,5793.757452973575,6004.35259086128,5779.385922831335,2895.6305758177114,2941.7416908803516,2841.65448470232,2962.6026214986464,2830.9591596266723,2.6414038224695234E-5,2.597723427577783E-5,2.673724741883499E-5,2.592120728810514E-5,2.6925240779443354E-5,0.03100531141019108,0.03139923974915523,0.030499750582184175,0.03160837468865227,0.03042409534663446,0.01666875364419364,0.016881416096447693,0.01639630240938019,0.016993985245015,0.016355290140082065
0.08629807692307694,5144.531710979485,5059.457564137639,5207.481568725236,5048.545464598917,5244.096106688536,286.8225675622156,290.46670246937066,282.1457477480318,292.4013587454843,281.4458796311277,5298.974631930392,5215.218955069638,5358.87130643847,5205.919483984751,5395.588213186448,0.029792293812876288,0.02929962429094822,0.03015684024057886,0.02923643166354558,0.030368877241050113,2.9699511051404013E-5,3.0076848950096773E-5,2.9215242107881636E-5,3.027717609273375E-5,2.914277312090235E-5,0.029808285857287252,0.029315750839954125,0.030172514554788418,0.02925272698241068,0.030384563575050226
0.08634615384615386,10098.980615920533,9931.975685610132,10222.554427661802,9910.554672403918,10294.430650790682,5344.225255681721,5412.124647181754,5257.084349094053,5448.172155646395,5244.044047218058,7221.320864062689,7035.232470146548,7405.987683010919,6978.911909353494,7472.18523790451,0.05691306316683658,0.055971902617132654,0.05760946653870863,0.055851183950163336,0.05801452682971254,0.030948819583170455,0.031342030182799914,0.030444179889432158,0.0315507840774283,0.030368662498086944,0.04024831416754939,0.039197806840866795,0.04129938462513706,0.038873950305468315,0.04167077627491177
0.08639423076923078,14138.883337986932,13905.071301274547,14311.89047348785,13875.081224233827,14412.519395578529,10452.143075488968,10584.939527873245,10281.71440158268,10655.440619792327,10256.210405318565,8510.806300129498,8246.367209594957,8808.237152668713,8142.20361887829,8893.328166689023,0.07887988415170295,0.07757546244255739,0.0798450793852661,0.0774081498092947,0.08040648140882602,0.05889785258346444,0.059646160927470736,0.05793748657629913,0.060043434758189816,0.05779377149304736,0.04716565585335916,0.04569025602328652,0.048833145292762684,0.04510355756097186,0.04930594462272052
0.08644230769230771,16898.39328789551,16618.94775762548,17105.16652078952,16583.10446615369,17225.435361049073,14536.932306707677,14721.62677796957,14299.898611531109,14819.680315256099,14264.427429729958,9070.814357865936,8755.98971607177,9455.82540313336,8610.61389839805,9549.828028480573,0.09370347952800064,0.09215392282880806,0.0948500602156037,0.09195516777136431,0.09551696437738517,0.08108155340743924,0.08211170986134046,0.07975946840289166,0.0826586156976301,0.07956162346140368,0.050044181563773764,0.04829919275472218,0.052186255472237104,0.04748783055817004,0.052705445342966256
0.08649038461538462,18127.614026854535,17827.841105964246,18349.428331512252,17789.390506420157,18478.44575219478,17198.745318980542,17417.25862743086,16918.309112128438,17533.26644667602,16876.3429112072,8866.751168437526,8532.865170371388,9304.891376064748,8357.99602336653,9397.940372572068,0.10004145018796123,0.09838708366799243,0.10126558396957853,0.09817488509992446,0.10197759658444719,0.09532842685547956,0.09653959252804557,0.09377403774530267,0.09718259541613251,0.09354142938691809,0.04871075883569784,0.04686952801204362,0.051135477995779166,0.04589924143430557,0.05164674072355488
