% Model,20260626_TI_field_Base_X50_Y50.mph
% Version,COMSOL 6.3.0.335
% Date,"Jun 30 2026, 17:05"
% Table,Table 5 - Point Evaluation 4
% Time (s),"withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: 11","withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: 12","withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: 14","withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: 15","withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: 16","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: 11","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: 12","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: 14","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: 15","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: 16","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: 11","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: 12","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: 14","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: 15","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: 16","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: 11","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: 12","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: 14","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: 15","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: 16","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: 11","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: 12","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: 14","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: 15","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: 16","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: 11","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: 12","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: 14","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: 15","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: 16"
0.0633173076923077,3613.357058522585,2521.2370272439566,1153.8265846691788,510.00420341601904,410.7873229140637,595.523639151333,738.256778441624,1672.9193304441596,3651.6336632531957,5236.4056884217825,3334.4916002910904,2556.1285351424694,253.0238730246718,2034.6913449509254,2465.563643894563,0.020606173896804473,0.014378055580173877,0.006580017104695017,0.0029084408580392824,0.002342628993889412,0.003355777208116992,0.004160078807892157,0.009426904644999737,0.020576964899329305,0.02950715925685458,0.019034514912073516,0.014572614676427174,0.0015039915522898641,0.011474431233507502,0.013870066833245593
0.06336538461538463,5938.475532412823,4143.5994714077015,1896.2894700771583,838.181069393693,675.1202349064182,828.2595030380156,1026.77400564299,2326.710884610682,5078.724141854601,7282.838980797426,5549.833602431273,4185.549354410185,643.4451518626313,2865.7221727172023,3342.3696763429157,0.03330393094095463,0.02323797578848811,0.010634697947446033,0.0047006549574451495,0.003786183433348092,0.0046197207026827955,0.005726960105434189,0.01297752021361356,0.02832721746660568,0.04062094294178103,0.031136101183446434,0.023470853794423645,0.0036468024713643445,0.015991594338362752,0.018625351446998756
0.06341346153846154,7725.8159535671,5390.724728369307,2467.027667376934,1090.4537103091634,878.3154284205242,979.9195559439836,1214.7834392167752,2752.7477662433753,6008.6737158990845,8616.377251209173,7265.551682577482,5436.459424113551,984.778874461427,3421.293837043434,3888.4896176509137,0.04298574171537231,0.029993505181205332,0.01372631897418928,0.006067185890220028,0.004886867662603234,0.005431453747382855,0.0067332466457785,0.015257805684017852,0.03330460462091905,0.047758465708811405,0.04043451322644185,0.030246176087487316,0.005510577475682515,0.01897090630459422,0.02153762122227174
0.06346153846153847,8813.51987093799,6149.6752961482425,2814.3561145203516,1243.9767529940402,1001.9718988725814,1035.6582552131906,1283.8814058661917,2909.3265169948136,6350.4524417401635,9106.484482442573,8326.72086489904,6194.964726028361,1247.7956863768225,3646.6789041911034,4049.0986396572566,0.048774838215073946,0.03403287472397167,0.015574908342576327,0.006884282983313903,0.0055450056253585605,0.005711518256125866,0.007080436091146509,0.01604455082668791,0.03502190502811344,0.05022105709946859,0.04609012096951662,0.034281904071413544,0.0069355348429409784,0.020119275322768027,0.022314470486620143
0.06350961538461539,9103.0867027771,6351.721926600231,2906.82134925998,1284.8474167606876,1034.8915305971318,990.0195086067719,1227.3041151816715,2781.1201177930457,6070.604636379845,8705.185563926305,8637.424600952456,6392.279093255689,1409.2951355574094,3520.376653127734,3807.8028104624914,0.050146969893645595,0.034990286111287815,0.016013061003041597,0.0070779513400185765,0.005700997488270755,0.005432499563471656,0.006734543119614032,0.01526074354548292,0.03331101735919565,0.047767661510550084,0.047591674907234004,0.03521210442533895,0.007795737574985741,0.01932752482829376,0.020876336831760833
0.06355769230769232,8568.29377861754,5978.567627022001,2736.0498801817002,1209.3645251280584,974.0931787955387,847.4707546263717,1050.58974657255,2380.6783042583606,5196.523752820914,7451.762429818421,8169.379678281857,6010.644923920439,1454.1461806769366,3055.848717977139,3188.3008874804314,0.046977878884204516,0.03277903782712983,0.015001098609979798,0.006630652689582045,0.005340716898571369,0.004621709963094558,0.005729426145212549,0.012983108358193177,0.02833941521965363,0.04063843439610985,0.04480230021869222,0.03295320105286196,0.008010194124548672,0.016679411781514508,0.01736466237466625
0.06360576923076924,7257.571018865703,5064.004604100353,2317.5064755753015,1024.3636779491746,825.082636842292,621.965658507174,771.0363336796847,1747.1991111417017,3813.7709180257734,5468.908869597928,6964.512052042344,5084.943091738483,1376.7069560220564,2301.1173685128765,2252.430195916958,0.03955455257647555,0.0275993766839787,0.01263066272395812,0.0055828936226111,0.004496790242090692,0.003358515190182869,0.004163473020458183,0.009434596066168057,0.02059375366609486,0.02953123417835552,0.037971987049597034,0.027711599130991374,0.007550495621229921,0.012448986950736356,0.012130233305482479
0.06365384615384616,5289.615205140623,3690.8541002383363,1689.0937008193282,746.5982313350605,601.3540411790069,335.57823024382475,416.00851232035023,942.6918955747424,2057.6996136704006,2950.7204050933506,5131.235293700763,3699.779004790919,1181.490373271811,1340.2729314845456,1096.9625594589468,0.0285492345361401,0.019920363818520394,0.00911641591081026,0.004029557384427056,0.003245642054301134,0.0017665655503052828,0.002189970147839783,0.0049625597764918535,0.010832232018583141,0.015533311003021143,0.02771538853642411,0.019966468467909455,0.006444268343222934,0.007111861410217595,0.005716784364992589
0.06370192307692309,2842.6410054307853,1983.466245371413,907.719527745157,401.2221427586225,323.16786570328475,16.342066693096886,20.25887927323621,45.90742914798501,100.20633429209025,143.69486845937928,2834.8964210834324,1983.60035880605,883.000142848697,405.1983130657744,257.6548737507254,0.014958547292518819,0.010437397327984693,0.004776602271682593,0.002111311412800457,0.0017005741468266648,1.692165977325505E-6,2.097738730903028E-6,4.753559703901964E-6,1.0376028490514273E-5,1.4879119764337195E-5,0.014957745055226545,0.010437408170421443,0.004774042662614235,0.0021113568810006422,0.0016935232383955066
0.06375000000000001,138.24216261501837,96.4591247048727,44.14384733198254,19.512072258865423,15.716168364963636,304.493772207371,377.4738340289826,855.3707762994873,1867.0958392649786,2677.3965230799276,293.09739938537194,224.1489438497229,504.72811144666747,1005.4156592699646,1455.533634135881,1.3239929507730882E-5,9.238223616523734E-6,4.2278087655655935E-6,1.8687385698334478E-6,1.5051917399654803E-6,0.0017633468593461878,0.002185980011660344,0.004953517968626945,0.010812495639562826,0.015505009235401063,9.61172215524621E-4,0.001177014235376317,0.002671506714944357,0.005822100600320666,0.008350176616797201
0.06379807692307693,2578.675650871135,1799.2831671296312,823.4294233935354,363.96497768990065,293.1587579441011,595.5236391513248,738.256778441607,1672.9193304441305,3651.6336632531456,5236.405688421701,2301.3698921690357,1846.3743614712323,77.37330408124163,2002.104100922829,2565.2142938884404,0.014933266418574892,0.01041975747827261,0.004768529517186521,0.0021077431653871727,0.0016977000709022267,0.0033557772081169537,0.004160078807892076,0.0094269046449996,0.02057696489932908,0.029507159256854203,0.013369795054809298,0.010678703089959017,3.074961518843574E-4,0.011292705291510618,0.014415955069536926
0.06384615384615386,5062.073066303817,3532.0854935376665,1616.4343525539364,714.4819900166523,575.4857351829403,828.2595030380063,1026.7740056429786,2326.710884610662,5078.724141854569,7282.838980797367,4674.186788960495,3580.3045554012424,363.5900365098713,2831.1992804412994,3425.6328448490394,0.028527442039399453,0.01990515800054868,0.009109457074006008,0.004026481501041911,0.003243164557267018,0.004619720702682746,0.005726960105434129,0.012977520213613456,0.02832721746660551,0.04062094294178071,0.026363661194926516,0.020171677665621217,0.0021215616090521834,0.015802129950166673,0.01907891097574439
0.06389423076923077,7087.057917510364,4945.028278814878,2263.0577880551573,1000.2967515368973,805.6977215701295,979.9195559439822,1214.783439216777,2752.7477662433603,6008.673715899076,8616.377251209136,6627.2089247940385,4994.2884728999325,780.8089958133627,3393.048713932882,3948.598946304652,0.03953822194767625,0.027587981910270894,0.012625447985046922,0.005580588649923021,0.004494933681784779,0.0054314537473828485,0.006733246645778512,0.015257805684017772,0.03330460462091901,0.04775846570881122,0.036989210282994046,0.02785948800806137,0.004409706490075024,0.018817772447500394,0.02186190914777042
0.0639423076923077,8470.251085700327,5910.157872981652,2704.742632188148,1195.5263727694214,962.9471185799373,1035.6582552131956,1283.881405866183,2909.326516994818,6350.452441740138,9106.484482442576,7983.632624840447,5957.003179342298,1138.1822042635686,3630.1258651666444,4081.1193643132283,0.04696848899678956,0.03277248598864606,0.014998100206680371,0.006629327361923139,0.005339649401877504,0.005711518256125896,0.00708043609114646,0.016044550826687938,0.035021905028113295,0.05022105709946861,0.044284712850121304,0.03302963051372501,0.006358726708173482,0.02003183290799565,0.022482897513348442
