% Model,20260626_TI_field_CompactY_X50_Y10.mph
% Version,COMSOL 6.3.0.335
% Date,"Jun 30 2026, 17:22"
% Table,Table 2 - Point Evaluation 1
% Time (s),"withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: (0, 0)","withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: (15, -3)","withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: (-15, -3)","withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: (5, 3)","withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: (-5, 3)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (0, 0)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (15, -3)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (-15, -3)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (5, 3)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (-5, 3)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (0, 0)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (15, -3)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (-15, -3)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (5, 3)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (-5, 3)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (0, 0)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (15, -3)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (-15, -3)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (5, 3)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (-5, 3)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (0, 0)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (15, -3)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (-15, -3)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (5, 3)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (-5, 3)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (0, 0)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (15, -3)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (-15, -3)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (5, 3)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (-5, 3)"
0.08149038461538463,68.84415992865443,0.6482039918822614,7935.814985743027,15.564785121754715,314.48996402291715,1.1047222564057573,125.75058292245234,0.010266468832063856,5.293562387951798,0.23660862131232074,69.43892775281587,67.49098037753248,7935.81316604022,15.033296541494602,314.455849042428,3.799324933789747E-4,3.5772643476114E-6,0.04379563898596784,8.58978833694052E-5,0.0017355859421876508,1.1439026970317217E-7,1.302104942105083E-5,1.0630582770200951E-9,5.481305602199449E-7,2.4500026000923384E-8,3.7999407951188653E-4,6.68211835990527E-6,0.043795638797543536,8.581723317651889E-5,0.00173558240726223
0.08153846153846155,67.27802610793532,0.6334580178523953,7755.283358121806,15.210702271202598,307.3356408465827,20.58375194596021,2343.049387229886,0.1912901152983986,98.63237069054676,4.4086132429476725,56.19632634336585,1261.8606451702296,7755.317264400016,59.12755255899557,307.98022699233474,3.6959649809222835E-4,3.4799455131320153E-6,0.042604186488412465,8.35610468705012E-5,0.001688369638157831,1.1920209101272267E-4,0.013568779250601945,1.1077757735080464E-6,5.711876463883775E-4,2.5530618441448962E-5,3.054216384664021E-4,0.00730746697548153,0.042604382842469236,3.401533478444583E-4,0.0016921051434796918
0.08158653846153847,59.61931083685273,0.5613471835194783,6872.446709627906,13.479164583377791,272.34953465310934,40.257345092422945,4582.495358375163,0.37412189014686814,192.90348011371984,8.622289326373366,37.94705039783944,2467.6912078117366,6872.513024378599,108.35363234397528,273.6301587106024,3.257904844553102E-4,3.067488843789013E-6,0.03755457269625115,7.365706677972945E-5,0.0014882575056699328,2.268502410970166E-4,0.025822372898331638,2.108177794254547E-6,0.0010870115968101255,4.858662209357106E-5,2.03667730082766E-4,0.01390541314344599,0.03755494638050133,6.096853145288683E-4,0.0014954802223709279
0.0816346153846154,46.561574097660106,0.43840172107120484,5367.253197176646,10.526977110502818,212.69992658780635,55.990268811827974,6373.374755720686,0.5203320077273478,268.2918528658093,11.991955655512456,16.424945455497827,3431.9684385802607,5367.34543117278,147.70531932525012,214.52040317219252,2.5248144914654226E-4,2.3772457007624834E-6,0.029104081883427436,5.70828303703289E-5,0.0011533713526440106,3.122927090241968E-4,0.035548292771724985,2.902216683961436E-6,0.0014964312784811115,6.68866286522791E-5,8.439434421859599E-5,0.019142208636580733,0.029104596331087158,8.23291021566286E-4,0.0011635395559110113
0.08168269230769232,29.287301900203882,0.27575535852055494,3376.0105367325314,6.621484833935773,133.78858178339635,66.24247491278103,7540.383826062232,0.6156084030250939,317.41794976009595,14.187765812220118,6.4046146654925975,4060.3018126022325,3376.1196662078482,172.85451514670805,136.03491357775238,1.563081313578284E-4,1.4717233068832443E-6,0.018017975853123206,3.533927176813431E-5,7.140378887353619E-4,3.671657907207903E-4,0.04179449806909649,3.412166383708893E-6,0.0017593698403643313,7.863930597194677E-5,4.150097531585625E-5,0.022505237480060863,0.01801858073413749,9.57668741508997E-4,7.265305898896308E-4
0.08173076923076925,9.36082239804751,0.08813706859089362,1079.0422127644413,2.1163623659510438,42.761574870523944,70.01040603081466,7969.287590566067,0.6506247586387877,335.47296615099,14.994778599251678,28.3388330966676,4291.185262365468,1079.1575849912053,181.23238258949104,45.593574099035465,4.597982007793884E-5,4.329242008534912E-7,0.005300193155011702,1.0395449958162548E-5,2.1004239106236616E-4,3.860981266271756E-4,0.04394956669607754,3.5881094638578107E-6,0.001850089024022362,8.269422011082383E-5,1.6192744169250264E-4,0.023665300649521354,0.005300829451897626,9.991089045047578E-4,2.2608130070483993E-4
0.08177884615384616,11.41335695800338,0.10746276152723763,1315.642303992139,2.5804142102003547,52.1378461560489,66.92523081537091,7618.1019604137255,0.6219534297077435,320.6895512374308,14.333997982222916,47.44880534026068,4102.017831005464,1315.5321023963309,171.98767444205527,50.61884170375497,6.851234402435132E-5,6.450797705400802E-7,0.007897565849887316,1.548976578451803E-5,3.1297418153798505E-4,3.672364877954641E-4,0.04180254552020962,3.412823389856083E-6,0.0017597086036808905,7.865444782074362E-5,2.6624793970471026E-4,0.02250884044399193,0.007896961126595261,9.433957011161382E-4,3.0437299340225723E-4
0.08182692307692309,31.153962487487604,0.29333095019631084,3591.184533730649,7.043512947379599,142.31575419054235,57.288947712212845,6521.2034319382,0.5324009656724532,274.5148086732454,12.270105771856759,61.99968589023215,3511.3160514507704,3591.0901772668085,146.03691161658165,140.6894406397775,1.7680014898490128E-4,1.664666435848066E-6,0.020380134978041968,3.997225518179085E-5,8.076483546480528E-4,3.124271828512457E-4,0.03556359993336019,2.9034663839159166E-6,0.0014970756446002452,6.691543016020153E-5,3.4501809353311284E-4,0.019149056528330266,0.020379620399754456,7.960598159782743E-4,7.987481905563505E-4
0.08187500000000002,48.07331916445347,0.45263559636314815,5541.515315678583,10.8687633585723,219.60579416117068,42.04482325141655,4785.964075648881,0.39073338566159127,201.46864397899705,9.005130117688077,70.71068311429167,2576.9014661279475,5541.446062778013,106.01222659250466,218.35647282471658,2.6907723885105276E-4,2.5335037936209896E-6,0.031017114401706743,6.083492642240105E-5,0.0012291832924295706,2.2703532844138184E-4,0.02584344139886451,2.109897858678806E-6,0.0010878984906868504,4.862626396836644E-5,3.913152546567146E-4,0.01391482542179582,0.031016740446429387,5.720695527737827E-4,0.001222427587064581
0.08192307692307693,60.63923936976506,0.5709503473485465,6990.016074178817,13.709757395764157,277.0087139931344,22.685058547262894,2582.2412098625928,0.21081809946256144,108.7013246975033,4.858669585169237,72.85284653603742,1390.2407140756686,6989.978708048699,56.32755698611084,276.31917985899526,3.369871602822783E-4,3.1729114384488753E-6,0.038845237698338995,7.618849215415919E-5,0.0015394055214441897,1.1941967423552728E-4,0.013593546758403805,1.1097978305112044E-6,5.722302526705365E-4,2.5577220260204365E-5,4.012824967478619E-4,0.007318508130628951,0.03884504099369962,2.9637962233596666E-4,0.0015357724474403622
