% Model,20260626_TI_field_Base_X50_Y50.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 7 2026, 19:57"
% Dimension,2
% Nodes,2200
% Expressions,2
% Description,Arrow surface
% x,y,ec.Jx,ec.Jy
10.83,-21.5,-0.006352188670037055,-0.002016305643935885
11.969999999999999,-21.5,-0.005719133085671362,-0.0019032323661746652
13.11,-21.5,-0.005125708303191024,-0.0018005389897218676
14.250000000000007,-21.5,-0.004569739789059247,-0.0017136954510644097
15.389999999999993,-21.5,-0.004017979006645318,-0.0016428655468496488
16.530000000000005,-21.5,-0.003506647168447199,-0.0015764425189826788
17.67,-21.5,-0.0030153948918568126,-0.0015070186107135368
18.809999999999995,-21.5,-0.0025332659126824264,-0.001457051360974044
19.949999999999996,-21.5,-0.0020708766545840646,-0.0013935100951564072
21.090000000000003,-21.5,-0.0016426315773897541,-0.0013314275205790207
22.230000000000004,-21.5,-0.0012741888321023398,-0.001282334498557162
23.369999999999997,-21.5,-0.0010331737223796317,-0.0012883625164836507
24.509999999999998,-21.5,-9.437986313782172E-4,-0.0019035451870578033
-24.51,-20.5,-0.24011170005032267,0.05972578201620276
-23.37,-20.5,-0.15056025235212805,0.007060954044605174
-22.23,-20.5,-0.10626489854963099,-0.012451461304357382
-21.09,-20.5,-0.08454935093077191,-0.01727218359132392
-19.95,-20.5,-0.06857325550842873,-0.020400181493515274
-18.810000000000002,-20.5,-0.06115776264683444,-0.020507585394046325
-17.67,-20.5,-0.05396970308957082,-0.01825129789150842
-16.530000000000005,-20.5,-0.04820392318454762,-0.01708034841771564
-15.389999999999999,-20.5,-0.043724030020189306,-0.01581683024523604
-14.250000000000002,-20.5,-0.04005998125502948,-0.014675513411276663
-13.110000000000001,-20.5,-0.03638663535881137,-0.012964410516252607
-11.97,-20.5,-0.0336037143100282,-0.011594080109045356
-10.830000000000004,-20.5,-0.03079241179955314,-0.010629422256520724
-9.690000000000001,-20.5,-0.02829537645403013,-0.009697481442551113
-8.55,-20.5,-0.026181470185039628,-0.008741679909163547
-7.41,-20.5,-0.024098023044346197,-0.00808028778897674
-6.270000000000003,-20.5,-0.02218717347568359,-0.007401820984664634
-5.129999999999999,-20.5,-0.020598349555234662,-0.006748420756508586
-3.9900000000000024,-20.5,-0.018999024101147965,-0.00622585964652455
-2.849999999999998,-20.5,-0.017480187494628957,-0.005762312321922175
-1.7100000000000009,-20.5,-0.016203249619134996,-0.005333901010494358
-0.5700000000000038,-20.5,-0.014948301833786143,-0.004910609070390198
0.5700000000000003,-20.5,-0.013795314801192464,-0.004623823573215126
1.7099999999999973,-20.5,-0.012674671113597413,-0.004260630017279462
2.8500000000000014,-20.5,-0.011726831570572457,-0.0039194655776179955
3.989999999999999,-20.5,-0.01077080209492177,-0.0036910618857701216
5.130000000000003,-20.5,-0.009840561006442398,-0.0034589780650139002
6.269999999999996,-20.5,-0.009083772747848898,-0.003226353400894572
