% Model,20260626_TI_field_Base_X50_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 7 2026, 21:50"
% Dimension,2
% Nodes,868
% Expressions,2
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=4,ec.Ey (V/m) @ idx=4
23.630935746888007,-18.068154872500806,-0.06325331218179295+1.7078589123740992E-7i,0.09072818672257649-2.449688987864096E-7i
24.01011912116474,-18.262146195528423,-0.06412348164826542+1.731353756000664E-7i,0.11352953539767408-3.0653324254279993E-7i
24.471183362853345,-18.07117834824552,-0.034028778482318+9.187875006639501E-8i,0.12628614268018779-3.409764751382594E-7i
24.15909008449802,-17.78359653191805,-0.038936622933944245+1.0513008125859784E-7i,0.10394963798019922-2.8066722443291777E-7i
24.702073442195157,-17.71580491519082,-0.014808583323254187+3.9983631110980646E-8i,0.11408659249680458-3.08037313869106E-7i
25,-18.000000000000004,-6.284325148506742E-4+1.6967871472564795E-9i,0.13114300379237964-3.540901497435978E-7i
-23.27571298243662,-23.118120192339475,6.695877829943811E-4-1.8079076389205653E-9i,-7.5259299483783E-4+2.032024267647007E-9i
-25,-25,1.9124133499998086E-6-5.1635749508120284E-12i,1.0905964401008994E-6-2.9446439811888374E-12i
-22.342222050547182,-24.999999999999996,0.0010649168303194234-2.875308243735611E-9i,5.659367288223434E-6-1.5280465999605595E-11i
-24.999999999999996,-22.222222222222218,4.1270424383834286E-6-1.1143141705199283E-11i,-0.0010804682209338602+2.9172974774118654E-9i
-19.684444101094375,-24.999999999999996,0.0022287769259930665-6.017766351602664E-9i,3.897836236383771E-6-1.0524277900099018E-11i
-21.00222089908097,-22.548968658337454,0.0015691883695219272-4.236856932296866E-9i,-0.0010544188665135448+2.8469634180978194E-9i
-23.03412196255495,-20.819410081137693,6.994940105279832E-4-1.8886553744406635E-9i,-0.0016292311057158147+4.398974169473531E-9i
-24.999999999999996,-19.444444444444443,2.3036761697912502E-6-6.219996616819995E-12i,-0.0020587214719373173+5.558611387555791E-9i
-17.026666151641546,-24.999999999999996,0.003610889395101994-9.74951259041989E-9i,8.84015626107885E-6-2.3868694202076268E-11i
-18.184423770704928,-22.770954009380578,0.002867288360696038-7.741766892911894E-9i,-0.0011508658721409992+3.1073733040804795E-9i
-20.899972278095206,-19.561900801675574,0.0013758916906956783-3.7149499454869967E-9i,-0.002224543024214616+6.006334686387695E-9i
-18.969722730972073,-20.737876891353693,0.002262964977274335-6.1100751431322186E-9i,-0.0020065457006125343+5.417735197845895E-9i
-22.894077437838472,-18.125699059276098,6.128873516137098E-4-1.6548147276880099E-9i,-0.002522645719945177+6.811221147105096E-9i
-24.999999999999996,-16.66666666666666,3.1235124537768816E-7-8.433579837454423E-13i,-0.002853423546025524+7.704331466233353E-9i
-20.642006284659328,-16.833784384010233,0.0011163698039453422-3.0142328573937637E-9i,-0.00310125953542428+8.373496271526265E-9i
-15.60618233505569,-22.78201910018371,0.004322091925413514-1.1669781328925064E-8i,-0.0014604376537258+3.94322664987752E-9i
-14.368888202188746,-24.999999999999996,0.005386518851926443-1.4543766817291759E-8i,1.3560152508279577E-5-3.6612829455886314E-11i
-16.800653624386744,-20.5560234169845,0.0032159089619587526-8.683053254633937E-9i,-0.002478284127811379+6.691443481902781E-9i
-18.3062901105368,-18.188396290487198,0.0020597152328732213-5.5612945726937974E-9i,-0.0031119429218689925+8.402341743999015E-9i
-22.78823495258642,-15.428032945014658,4.6254930051398135E-4-1.2488973589630796E-9i,-0.003210555946626036+8.668599948349224E-9i
-24.999999999999996,-13.88888888888889,-2.0006696594225084E-6+5.401869705694368E-12i,-0.003419841117742859+9.233676356826636E-9i
-20.51668094764737,-14.260759454648152,7.714090128496434E-4-2.0828280958553923E-9i,-0.0036763169345287914+9.926168962189182E-9i
-18.446781981251714,-15.437917752959736,0.001391697255098678-3.757625456222787E-9i,-0.003845427129032621+1.0382771696330497E-8i
-12.973726006609452,-22.76953160311924,0.006262506696169966-1.6908960979177194E-8i,-0.0020092654579137587+5.425078626334853E-9i
-11.711110252735924,-24.999999999999996,0.007832165657613346-2.1147088524157284E-8i,2.14137919718795E-5-5.7817897918224074E-11i
-14.24375105338244,-20.556162743747564,0.004607680864800155-1.2440880262061004E-8i,-0.003221939107271083+8.699334832717935E-9i
-15.492357743023929,-18.31333652477032,0.003136043002603603-8.467412704320243E-9i,-0.0038796205728758326+1.0475095047944105E-8i
-16.525056345947924,-16.385033904871058,0.0021199816864272206-5.724015853632924E-9i,-0.004151796964061245+1.1209979687798642E-8i
-22.67614291924532,-12.792575994872664,2.9225528773802145E-4-7.890982790237012E-10i,-0.003658637801109301+9.87843475739992E-9i
-25,-11.111111111111114,-2.440020236943452E-6+6.588129797674605E-12i,-0.0037485540071903654+1.0121211283443291E-8i
-20.404137680947798,-11.94090462253233,4.4734046121199314E-4-1.207833024380997E-9i,-0.0039872676962225155+1.0765745596758183E-8i
-18.142652718058734,-13.13138599579194,8.976344228338132E-4-2.4236405908419516E-9i,-0.004287641842988896+1.1576765045236411E-8i
-16.23307804383873,-14.399482985010552,0.0015023764938301015-4.0564628099703565E-9i,-0.0046665217437808345+1.2599752447741423E-8i
