% Model,20260626_TI_field_CompactXY_X10_Y10_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 20:44"
% Dimension,2
% Nodes,277
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=3,ec.Ey (V/m) @ idx=3,ec.Ex (V/m) @ idx=4,ec.Ey (V/m) @ idx=4
3.0730613507736746,-3.0356374166521833,-0.1025347367219707+2.7684694745351053E-7i,-0.027960437642734662+7.549404288075555E-8i,-0.1536451948529136+4.148467587259529E-7i,-0.041416843309081866+1.1182675266793745E-7i
2.7711686249510508,-3.5297093296463844,-0.08319054113940644+2.246170235351653E-7i,-0.026661054379158482+7.198566804512262E-8i,-0.11979085567163854+3.234390001455079E-7i,-0.034674670750692416+9.362267908595733E-8i
3,-2.5,-0.09518710358725564+2.570081116658908E-7i,-4.929848114401987E-4+1.331074175945945E-9i,-0.16303489312033806+4.4019923327216625E-7i,2.236217904690955E-4-6.037857223287707E-10i
2.537132244230102,-2.701646819488478,-0.08872065246638734+2.3954849445808176E-7i,-0.017467022267549055+4.716149814658398E-8i,-0.13944518330714004+3.765062901595718E-7i,-0.011933700115004173+3.22213578957418E-8i
3.07117834824588,-1.971183362852011,-0.05846893331426717+1.5786792092527568E-7i,0.014006398555573618-3.7817707529130204E-8i,-0.14210959584378346+3.837002860784932E-7i,0.03748330537678388-1.0120607908877334E-7i
2.5107777558899382,-2.183702442162958,-0.07393543258759921+1.9962794536679261E-7i,-0.015951123553326823+4.306852492504325E-8i,-0.13066557403851595+3.5280107470225486E-7i,0.004125006923142789-1.1137645752118418E-8i
3.2621461955296036,-1.5101191211626674,-0.010660822118267771+2.878454809700211E-8i,0.003537050858697016-9.550146267729833E-9i,-0.10947717201523027+2.9559173658817657E-7i,0.06137181796722713-1.6570579890374103E-7i
2.675322141821748,-1.6632736235159093,-0.049689839458533336+1.3416409709863854E-7i,-0.017137548651344658+4.6271909234288353E-8i,-0.11314143448720515+3.0548535813016987E-7i,0.023486177396202484-6.341340239767981E-8i
3.585786437627587,-1.085786437626223,0.03533333801577465-9.540110099014306E-8i,-0.0385493109005672+1.0408432683839584E-7i,-0.07582308947426551+2.0472467710493126E-7i,0.07540484024307996-2.0359539129769463E-7i
3.1202388457244044,-0.9064643245941306,-0.009424358860717566+2.5446059215726977E-8i,-0.04683206139844467+1.264480083103088E-7i,-0.0744385588407247+2.0098640174766486E-7i,0.04845272181298484-1.3082384134960246E-7i
4.01011912116503,-0.7621461955282576,0.05988177214008804-1.6168262927365767E-7i,-0.11008804863751767+2.9724112228476133E-7i,-0.04976109543120219+1.3435649041968515E-7i,0.08764598036055918-2.3664684666997054E-7i
3.4911927043483395,-0.5623841394093047,0.00400771410082638-1.0820951518987017E-8i,-0.08158020498794226+2.202690663241728E-7i,-0.05266894423849905+1.4220777176777696E-7i,0.06004531923895793-1.6212421147822424E-7i
4.15626282605434,-0.3330216023887548,0.018283063107836846-4.93648335512906E-8i,-0.1504743281492016+4.0628532095600187E-7i,-0.02725802514816955+7.359750750950917E-8i,0.08372775710982173-2.2606752320274943E-7i
4.47118336285198,-0.5711783482458883,0.04913844474397949-1.3267531438512888E-7i,-0.18812017842145168+5.079302762692729E-7i,-0.027936350756870953+7.542900754699358E-8i,0.10436632964646687-2.817923047669066E-7i
4.700230261819947,-0.2149433019850432,0.00819443451041162-2.2125225585420565E-8i,-0.20128260476901447+5.434692328405174E-7i,-0.008397946272454038+2.2674713611558927E-8i,0.10059530633422867-2.716104256677059E-7i
5,-0.5,0.003514849313937418-9.490201413021526E-9i,-0.22937453846613787+6.193183191184878E-7i,-0.001143023871653548+3.086199661213651E-9i,0.11601899674340244-3.1325486485739575E-7i
